#   RA_deg    DEC_deg      l_deg      b_deg   Rhel_kpc    phi_deg  theta_deg   Rgal_kpc parallax_mas  NSt   IDst StreamName  
  208.0000    58.0000   180.0000    57.0000     10.355   186.6806    23.1810     15.032     0.124131   54   GD-1 GD1         
   22.5353    29.5031   134.0000   -36.0000     26.000   142.9563   -21.3215     31.691     0.038462   55 TriPis TriPis      
  190.0000    37.0000    64.0000    80.0000     16.600   170.5285    49.6853     20.680     0.060241   56 NGC5466 NGC5466     
   22.0000   -68.0000   298.0000   -49.0000      2.000   188.5542   -10.5560      8.089     0.500000   57    Alp Alpheus     
  251.0000    48.0000    71.0000    43.0000     18.500    40.1175    54.8054     13.107     0.054054   58    Her Hermus      
  247.0000    33.0000    49.0000    43.0000     20.000    51.2167    49.9194     14.998     0.050000   59    Hyl Hyllus      
   25.1392     9.4978   142.6185   -51.4866     30.023   151.3670   -28.7968     33.190     0.036765   60    Cet Cetus       
   19.0000   -25.0000   207.0000   -78.0000     20.000   180.8447   -61.6385     22.586     0.050000   61    Kwa Kwando      
    1.8876   -18.3038    71.7723   -76.5856     20.000   171.6980   -67.2056     21.653     0.050000   62    Mol Molonglo    
    6.0000     4.0000   105.0000   -48.0000     20.000   177.7123   -65.4377     21.975     0.050000   63    Mur Murrumbidgee
   12.0000   -25.0000    50.0000   -83.0000     20.000   154.9774   -73.3069     20.451     0.050000   64    Ori Orinoco     
  323.0000   -24.0000    23.5000   -45.0000      3.570   193.0497   -14.4286      5.827     0.280112   65    Phl Phlegethon  
  165.1188     8.2512   243.4621    57.6700      3.650   188.7409    14.2263     10.862     0.273973   66    Sli Slidr       
  178.7385    -3.5960   276.8379    56.3870      4.100   197.6707    18.0952      9.654     0.243902   67    Syl Sylgr       
  182.0000   -37.0000   294.0000    25.0000      9.500   217.0689    31.9878     12.900     0.105263   68   Ylgr Ylgr        
  206.3471   -24.7055   318.2270    36.5587      4.220   203.6765    18.5500      7.225     0.236967   69    Fim Fimbulthul  
  235.2913    27.5833    43.7061    52.5005      7.800   135.3652    40.5783      7.708     0.128205   70    Svo Svol        
  203.2089    27.1285    35.2981    80.7918      4.900   190.2161    31.8328      8.614     0.204082   71    Fjo Fjorm       
   79.2969   -11.3515   212.7064   -26.0123      3.380   184.8344    -8.5001     11.434     0.295858   72    Gjo Gjoll       
   76.4814   -16.3662   216.6857   -30.5226      7.900   184.2902   -17.3799     15.545     0.126582   73    Lei Leiptr      
