# Select by flag: 0=uniformly populated footprint; 1=ridge line; 2,3= upper(N) and lower(S) footprint bounds
# ra                   dec                    D      flag  
  221.63017073840993   -7.56983676849324      22.0   0     
  244.46848979903825   7.194901038082186      22.0   0     
  220.20104027282008   -10.669978284091075    22.0   0     
  223.5556118265845    -6.686699128997304     22.0   0     
  241.31055941931373   6.540971114029474      22.0   0     
  234.90937764209178   3.6434906735317627     22.0   0     
  242.94928692109286   7.847520711186929      22.0   0     
  244.48065067024334   7.670056161163149      22.0   0     
  227.26042074420147   -1.441595630568537     22.0   0     
  234.3637089988741    4.235738628225815      22.0   0     
  227.3981381234428    -1.414627500970806     22.0   0     
  233.1474293115271    2.3440742753762533     22.0   0     
  230.13561979184428   0.4610165094203553     22.0   0     
  236.1943446726429    3.733295586818919      22.0   0     
  223.18396581893307   -6.730819119293448     22.0   0     
  230.4173248535108    1.793197398976506      22.0   0     
  236.21332027239606   3.894648369293098      22.0   0     
  226.5916951302548    -3.1467257072464023    22.0   0     
  219.58314538106504   -12.087445267698563    22.0   0     
  232.19407620658723   1.6363603174884347     22.0   0     
  222.6647496693804    -8.135926418223711     22.0   0     
  240.34406576297852   5.5889423359481025     22.0   0     
  238.00933066571838   4.259702249425075      22.0   0     
  220.93351118163517   -9.195162547656789     22.0   0     
  221.9361683700716    -7.097617524109266     22.0   0     
  228.23231956161092   -1.2633684879476719    22.0   0     
  235.77046423759379   3.6695740744531737     22.0   0     
  240.3126955934043    6.526970268861656      22.0   0     
  231.13739227992448   1.3102874766585277     22.0   0     
  241.3303263048683    7.012565400534762      22.0   0     
  225.7330801662502    -3.3532985886971294    22.0   0     
  233.92229020710576   3.6564252977451166     22.0   0     
  248.58979632975098   9.014084663019178      22.0   0     
  241.8176988068174    5.900063571950843      22.0   0     
  239.72414537457985   6.232555990350849      22.0   0     
  228.68928056629812   -1.043232262238208     22.0   0     
  228.97686946042654   1.0295270424477376     22.0   0     
  239.27815989691302   5.491599424288228      22.0   0     
  240.97371905202183   6.443268094935873      22.0   0     
  228.79909550855714   -0.36086044719516835   22.0   0     
  248.41277747220892   9.309796379955193      22.0   0     
  244.67506211749796   8.347183472995958      22.0   0     
  224.66956673095353   -3.742209157102158     22.0   0     
  224.85026093309943   -3.633252677772068     22.0   0     
  244.35516283731482   7.771872433828851      22.0   0     
  227.8862622271755    -1.1102381339724665    22.0   0     
  223.6761641483464    -5.8073102322814325    22.0   0     
  226.61902621446814   -2.058561389909431     22.0   0     
  223.69951766350948   -4.808868399359951     22.0   0     
  223.52950686239896   -5.620904594330971     22.0   0     
  235.20233301111827   4.504710585507797      22.0   0     
  236.08048283581536   4.311094118137001      22.0   0     
  236.7846443826432    5.049862595890622      22.0   0     
  231.02524718607944   0.8061972961030784     22.0   0     
  237.96770195707467   4.532349208330628      22.0   0     
  221.72587451831663   -8.872595998371787     22.0   0     
  224.84612458629496   -3.432547910147983     22.0   0     
  235.1218142336986    3.5144304182313126     22.0   0     
  226.5241657265628    -1.713118254529833     22.0   0     
  229.2864571041631    1.0014817433166905     22.0   0     
  247.56169540942682   9.200494766204697      22.0   0     
  247.6502131904365    8.871131533664338      22.0   0     
  248.00130641482914   8.968384236895524      22.0   0     
  231.12176728053583   2.226414392924404      22.0   0     
  229.14125215578517   -0.3337925791999917    22.0   0     
  220.94421654488818   -9.673795253834387     22.0   0     
  237.31059634985283   4.220799120694704      22.0   0     
  227.61319295067221   -1.311023693047606     22.0   0     
  234.58274665318768   4.026888439833715      22.0   0     
  221.6577115361411    -8.213412878804071     22.0   0     
  226.12992528488905   -3.612302662502566     22.0   0     
  245.56766807976592   8.277361856148193      22.0   0     
  220.20786708873334   -9.732944472570608     22.0   0     
  225.8450465796706    -2.842817779353973     22.0   0     
  227.11218238467833   -1.8530221747616966    22.0   0     
  221.95724249101968   -8.85538137039316      22.0   0     
  248.443007779446     8.884538507640194      22.0   0     
  239.3676042099088    5.930551660498044      22.0   0     
  239.597689015615     6.304008132822533      22.0   0     
  219.93626665016853   -9.681667385297848     22.0   0     
  231.44332862685442   1.4615626511202116     22.0   0     
  228.71274391898157   -1.0385735560009597    22.0   0     
  237.10149859752147   4.635572462644399      22.0   0     
  232.2595883329968    2.3189895294509877     22.0   0     
  224.06986429393683   -5.242873704602866     22.0   0     
  237.8394361913392    4.539964475723342      22.0   0     
  238.54533978026714   4.849954746705736      22.0   0     
  227.69151747349446   -1.477791487192403     22.0   0     
  247.25926906933165   9.032840171149017      22.0   0     
  226.21552001378444   -3.764483307401683     22.0   0     
  245.42854102246616   7.8535410462256126     22.0   0     
  223.68349250290004   -4.972808246788129     22.0   0     
  230.6043231303409    1.725672064892292      22.0   0     
  232.49717383047457   3.302713188185563      22.0   0     
  222.68005033590285   -7.8027183246549585    22.0   0     
  235.3055323311031    3.64855847796763       22.0   0     
  248.63071840730467   8.912983854611703      22.0   0     
  237.3686732843816    5.300198940473245      22.0   0     
  227.7500942854576    -1.9557901748130333    22.0   0     
  247.56219888912244   8.419150139999317      22.0   0     
  223.49805217219065   -6.4226805808655545    22.0   0     
  233.32039872819115   2.575465779855636      22.0   0     
  228.7026612090814    -1.526222452713925     22.0   0     
  232.9395968567683    3.5216357915695475     22.0   0     
  236.4392543543865    4.9787405201650925     22.0   0     
  233.95807600583882   2.8035984684258195     22.0   0     
  241.77378499372276   6.126020675958132      22.0   0     
  235.08736728129597   4.0980157893087314     22.0   0     
  226.67604588754344   -2.071635128330138     22.0   0     
  244.98201491482783   8.57511337642583       22.0   0     
  226.58425413927742   -2.4572121178624804    22.0   0     
  221.92463628831882   -8.745146432242398     22.0   0     
  228.41886944903683   -0.16781382461460714   22.0   0     
  243.78009978557827   7.724532558328415      22.0   0     
  220.72451776394215   -9.445568148761131     22.0   0     
  247.03657182602615   8.577914730962686      22.0   0     
  229.49694876743723   0.39338319325391014    22.0   0     
  246.02875451005752   8.96281259313932       22.0   0     
  230.8885811013516    2.1329703523504855     22.0   0     
  219.64687411688996   -10.88401232526237     22.0   0     
  240.49279593540172   5.296411985506173      22.0   0     
  229.20855898012633   1.171054601146668      22.0   0     
  223.80445066766362   -5.077598121344685     22.0   0     
  246.21479159158534   8.259137460984125      22.0   0     
  239.9412122128525    5.458916737400245      22.0   0     
  219.97988203858935   -11.466990508516565    22.0   0     
  229.0729355670615    0.7667308667751788     22.0   0     
  227.05375117092444   -2.703322874388071     22.0   0     
  241.19935247750317   6.802462823361686      22.0   0     
  224.00482286789395   -5.996603265903191     22.0   0     
  226.05715847078096   -3.1763955617320896    22.0   0     
  233.94956118772313   3.6554463583141756     22.0   0     
  224.3185574158182    -4.646927575129014     22.0   0     
  223.53672023390843   -5.299684344518055     22.0   0     
  220.02290468923593   -11.814404992133177    22.0   0     
  223.26717533477716   -5.447208916063962     22.0   0     
  222.65306076254117   -7.992437951907581     22.0   0     
  225.85186270944678   -4.193951059867054     22.0   0     
  223.8905643775422    -6.513823022304129     22.0   0     
  228.88964478861263   -0.3472291353865332    22.0   0     
  240.2356822354532    5.890675570645736      22.0   0     
  221.48702330305673   -9.026336488175287     22.0   0     
  226.5080632321809    -2.8033396075364103    22.0   0     
  220.12398365433037   -9.822796107250936     22.0   0     
  223.03166094026855   -7.296014446825385     22.0   0     
  245.65765444616494   8.534034502904637      22.0   0     
  231.468328634231     2.156625242129657      22.0   0     
  238.51736381579548   5.763319166803928      22.0   0     
  245.57785515548704   7.553013777069847      22.0   0     
  229.7184538426928    1.6090354056026153     22.0   0     
  228.96478214880045   -0.7757814607488981    22.0   0     
  238.26321948813487   5.463535906528272      22.0   0     
  225.520802035313     -2.7594563239197814    22.0   0     
  229.3090431826165    -0.4380850711860629    22.0   0     
  238.3299725980638    5.699442831108496      22.0   0     
  222.61096668741675   -7.8526421687555       22.0   0     
  238.40891128199257   4.795680639814629      22.0   0     
  236.2851074838074    3.5655420803124667     22.0   0     
  228.89137628833896   0.343634954828084      22.0   0     
  243.55239697126643   6.834802532134504      22.0   0     
  228.16889614317463   -0.7313256071213038    22.0   0     
  231.5931147364927    1.1290809923773235     22.0   0     
  223.37705974828884   -5.554368335570085     22.0   0     
  232.9735712060418    2.3479095174297955     22.0   0     
  234.2585572807033    2.7694835795791444     22.0   0     
  243.11196214254556   7.697956023742478      22.0   0     
  246.33960283343743   7.814246689543627      22.0   0     
  219.59149309019452   -11.92852952137156     22.0   0     
  220.0599121378353    -9.879910474852675     22.0   0     
  223.1192933619017    -7.527183843644229     22.0   0     
  241.0851537771017    7.123537914491753      22.0   0     
  235.986830990429     3.8139548401576446     22.0   0     
  236.95588017944726   4.3893402567920665     22.0   0     
  220.2287944406598    -10.038749303768908    22.0   0     
  243.60804685765729   6.782363984672004      22.0   0     
  234.7670309217414    3.253318199159084      22.0   0     
