# RA           DEC          D_kpc    flag  
  162.657779   49.243048    8.653    0     
  127.182369   -3.442851    11.954   0     
  164.701887   48.51849     8.763    0     
  123.508603   -9.948702    15.723   0     
  182.96995    55.809406    9.756    0     
  146.979332   33.683243    8.05     0     
  157.38257    42.232979    8.388    0     
  169.738956   51.73035     9.038    0     
  128.328213   -1.446896    11.211   0     
  148.899391   38.31014     8.08     0     
  128.153015   3.530843     11.315   0     
  158.476602   46.28431     8.44     0     
  122.299689   -16.616327   17.182   0     
  124.749641   -9.134379    14.224   0     
  118.957499   -16.793419   21.217   0     
  126.195749   -0.241851    12.731   0     
  147.937155   33.266846    8.062    0     
  126.6857     -4.215323    12.327   0     
  134.572331   15.16232     8.909    0     
  133.378224   11.736862    9.187    0     
  145.045654   30.024871    8.045    0     
  138.023999   22.068823    8.379    0     
  127.959711   1.07366      11.434   0     
  159.592151   44.837538    8.495    0     
  193.595366   57.766573    10.307   0     
  187.351532   56.351755    9.986    0     
  155.540231   44.083595    8.304    0     
  150.818024   37.653838    8.128    0     
  155.519906   40.306221    8.303    0     
  121.645085   -15.94905    17.972   0     
  127.583554   1.18115      11.677   0     
  228.203537   57.213206    12.022   0     
  174.266076   52.997085    9.287    0     
  148.390695   36.397257    8.07     0     
  189.872706   56.184218    10.117   0     
  151.171438   40.056886    8.139    0     
  122.847847   -12.202399   16.52    0     
  138.528729   19.450743    8.328    0     
  164.406867   48.482986    8.747    0     
  128.203051   1.3281       11.285   0     
  124.377435   -5.493752    14.674   0     
  201.5398     58.835052    10.707   0     
  206.81171    58.570188    10.969   0     
  130.730995   5.690081     10.043   0     
  168.684938   49.335737    8.98     0     
  163.622707   47.666089    8.705    0     
  144.728088   28.304444    8.047    0     
  140.74754    27.213523    8.163    0     
  174.047237   51.085761    9.275    0     
  122.628365   -13.894442   16.785   0     
  160.784195   45.088869    8.556    0     
  127.079512   0.935381     12.028   0     
  175.217115   51.574431    9.339    0     
  133.224014   9.247798     9.227    0     
  149.754598   36.783544    8.099    0     
  121.699507   -15.74893    17.907   0     
  128.849976   6.006543     10.918   0     
  196.825859   57.556229    10.471   0     
  131.958834   9.856243     9.6      0     
  120.177649   -17.200691   19.744   0     
  203.612612   59.526836    10.81    0     
  132.244613   6.755205     9.509    0     
  136.431348   16.985493    8.58     0     
  140.174233   22.095079    8.197    0     
  199.067061   56.631231    10.583   0     
  132.710726   14.107007    9.369    0     
  140.284414   26.87857     8.19     0     
  145.427307   29.728266    8.044    0     
  185.233506   55.372073    9.876    0     
  207.828084   58.373409    11.02    0     
  219.595979   59.085894    11.6     0     
  158.977323   46.52185     8.465    0     
  226.306431   57.411108    11.929   0     
  134.94984    13.604649    8.833    0     
  142.018828   26.067957    8.105    0     
  222.743423   56.884686    11.754   0     
  124.889536   -3.291669    14.055   0     
  133.610611   14.463752    9.128    0     
  165.071412   47.573361    8.783    0     
  140.332022   24.368369    8.187    0     
  152.016948   37.42306     8.166    0     
  129.952553   5.459287     10.374   0     
  149.892478   37.130992    8.103    0     
  204.382172   58.000524    10.849   0     
  211.483186   58.631854    11.201   0     
  164.891878   47.906518    8.773    0     
  177.751263   54.733382    9.477    0     
  161.274753   46.998628    8.581    0     
  215.957736   57.907001    11.421   0     
  165.625701   49.384519    8.813    0     
  133.12671    13.211235    9.253    0     
  145.113319   34.099456    8.045    0     
  219.273194   58.429664    11.584   0     
  152.249165   39.004595    8.174    0     
  201.341374   58.983088    10.697   0     
  143.90867    31.098619    8.056    0     
  136.351308   17.666619    8.592    0     
  206.915626   57.241581    10.975   0     
  153.196116   39.494243    8.209    0     
  135.261068   15.572462    8.774    0     
  215.961193   58.072862    11.421   0     
  153.095892   38.85841     8.205    0     
  139.417986   25.244633    8.251    0     
  167.167773   48.720545    8.897    0     
  161.926418   45.656227    8.615    0     
  139.899373   24.718573    8.215    0     
  160.751635   44.915624    8.554    0     
  132.021497   12.200235    9.579    0     
  130.871987   6.478573     9.988    0     
  127.293935   -1.419743    11.875   0     
  145.056657   33.833912    8.045    0     
  154.415507   42.263057    8.257    0     
  169.401965   51.736092    9.02     0     
  202.664886   57.507201    10.763   0     
  161.520037   47.930622    8.594    0     
  155.757163   40.973236    8.314    0     
  178.58276    55.444079    9.522    0     
  126.682238   0.906393     12.33    0     
  191.243234   57.233772    10.187   0     
  177.762434   54.743774    9.477    0     
  150.395573   37.788872    8.116    0     
  138.531083   23.334591    8.327    0     
  185.009332   54.511669    9.864    0     
  157.221222   45.562275    8.38     0     
  139.707926   25.113692    8.229    0     
  189.182076   55.820415    10.081   0     
  137.678624   21.993952    8.417    0     
  121.392181   -15.890251   18.278   0     
  161.198058   47.56613     8.577    0     
  228.279239   57.298598    12.026   0     
  142.434985   30.124172    8.091    0     
  201.010245   58.627584    10.681   0     
  153.226744   41.253723    8.21     0     
  203.13662    56.881612    10.787   0     
  124.850891   -7.312742    14.102   0     
  139.195415   20.215568    8.269    0     
  132.613146   11.497217    9.397    0     
  127.275995   0.626719     11.888   0     
  144.155145   32.010748    8.053    0     
  137.18021    18.458477    8.477    0     
  189.887229   57.911624    10.117   0     
  125.939554   -1.95448     12.96    0     
  124.607579   -9.650326    14.396   0     
  183.72804    56.864013    9.796    0     
  177.822894   55.206991    9.481    0     
  158.097794   45.481569    8.422    0     
  235.979723   56.285225    12.404   0     
  122.483327   -13.683462   16.96    0     
  136.649299   17.756685    8.548    0     
  124.308782   -8.782408    14.757   0     
