#deg,kpc
#RA      DEC  Rhel  Flag
  38.1  -50.0 20.   0
  37.9  -49.9 20.   0
  37.6  -49.8 20.   0
  37.4  -49.8 20.   0
  37.2  -49.7 20.   0
  36.9  -49.6 20.   0
  36.7  -49.5 20.   0
  36.5  -49.4 20.   0
  36.3  -49.4 20.   0
  36.1  -49.3 20.   0
  35.8  -49.2 20.   0
  35.6  -49.1 20.   0
  35.4  -49.0 20.   0
  35.2  -48.9 20.   0
  35.0  -48.9 20.   0
  34.8  -48.8 20.   0
  34.6  -48.7 20.   0
  34.4  -48.6 20.   0
  34.2  -48.5 20.   0
  34.0  -48.5 20.   0
  33.7  -48.4 20.   0
  33.5  -48.3 20.   0
  33.4  -48.2 20.   0
  33.2  -48.1 20.   0
  33.0  -48.1 20.   0
  32.8  -48.0 20.   0
  32.6  -47.9 20.   0
  32.4  -47.8 20.   0
  32.2  -47.7 20.   0
  32.0  -47.6 20.   0
  31.8  -47.6 20.   0
  31.6  -47.5 20.   0
  31.5  -47.4 20.   0
  31.3  -47.3 20.   0
  31.1  -47.2 20.   0
  30.9  -47.2 20.   0
  30.7  -47.1 20.   0
  30.6  -47.0 20.   0
  30.4  -46.9 20.   0
  30.2  -46.8 20.   0
  30.0  -46.8 20.   0
  29.9  -46.7 20.   0
  29.7  -46.6 20.   0
  29.5  -46.5 20.   0
  29.4  -46.4 20.   0
  29.2  -46.4 20.   0
  29.0  -46.3 20.   0
  28.9  -46.2 20.   0
  28.7  -46.1 20.   0
  28.6  -46.0 20.   0
  28.4  -45.9 20.   0
  28.2  -45.9 20.   0
  28.1  -45.8 20.   0
  27.9  -45.7 20.   0
  27.8  -45.6 20.   0
  27.6  -45.5 20.   0
  27.5  -45.5 20.   0
  27.3  -45.4 20.   0
  27.2  -45.3 20.   0
  27.0  -45.2 20.   0
  26.9  -45.1 20.   0
  26.7  -45.1 20.   0
  26.6  -45.0 20.   0
  26.5  -44.9 20.   0
  26.3  -44.8 20.   0
  26.2  -44.7 20.   0
  26.0  -44.6 20.   0
  25.9  -44.6 20.   0
  25.8  -44.5 20.   0
  25.6  -44.4 20.   0
  25.5  -44.3 20.   0
  25.4  -44.2 20.   0
  25.2  -44.2 20.   0
  25.1  -44.1 20.   0
  25.0  -44.0 20.   0
  24.9  -43.9 20.   0
  24.7  -43.8 20.   0
  24.6  -43.8 20.   0
  24.5  -43.7 20.   0
  24.4  -43.6 20.   0
  24.2  -43.5 20.   0
  24.1  -43.4 20.   0
  24.0  -43.4 20.   0
  23.9  -43.3 20.   0
  23.8  -43.2 20.   0
  23.7  -43.1 20.   0
  23.5  -43.0 20.   0
  23.4  -42.9 20.   0
  23.3  -42.9 20.   0
  23.2  -42.8 20.   0
  23.1  -42.7 20.   0
  23.0  -42.6 20.   0
  22.9  -42.5 20.   0
  22.8  -42.5 20.   0
  22.7  -42.4 20.   0
  22.6  -42.3 20.   0
  22.4  -42.2 20.   0
  22.3  -42.1 20.   0
  22.2  -42.1 20.   0
  22.1  -42.0 20.   0
  22.0  -41.9 20.   0
  21.9  -41.8 20.   0
  21.8  -41.7 20.   0
  21.7  -41.6 20.   0
  21.6  -41.6 20.   0
  21.5  -41.5 20.   0
  21.5  -41.4 20.   0
  21.4  -41.3 20.   0
  21.3  -41.2 20.   0
  21.2  -41.2 20.   0
  21.1  -41.1 20.   0
  21.0  -41.0 20.   0
  20.9  -40.9 20.   0
  20.8  -40.8 20.   0
  20.7  -40.8 20.   0
  20.6  -40.7 20.   0
  20.6  -40.6 20.   0
  20.5  -40.5 20.   0
  20.4  -40.4 20.   0
  20.3  -40.4 20.   0
  20.2  -40.3 20.   0
  20.1  -40.2 20.   0
  20.1  -40.1 20.   0
  20.0  -40.0 20.   0
  19.9  -39.9 20.   0
