# Imp On TrackName         Name                TrackRefs       TrackRefsLatex                        Notes from-Members width_phi2 width_phi2_Ref width_pm_phi1_cosphi2 width_pm_phi1_cosphi2_Ref width_pm_phi2 width_pm_phi2_Ref total_v_sigma total_v_sigma_Ref Lv_stream L_Ref     width_comment
  st  1  Gaia-9-I21        Gaia-9              ibata2021       Ibata2021                             -     1            -1.0       from-Members   -1.0                  from-Members              -1.0          from-Members      -1.0          from-Members      0.0       --------  apparent
  st  1  GD-1-I21          GD-1                ibata2021       Ibata2021                             -     1            -1.0       from-Members   -1.0                  from-Members              -1.0          from-Members      -1.0          from-Members      0.0       --------  apparent
  st  0  GD-1-PB18         GD-1                pricewhelan2018 PriceWhelanBonaca2018_gd1,Koposov2010 -     1            -1.0       from-Members   -1.0                  from-Members              -1.0          from-Members      -1.0          from-Members      0.0       --------  apparent
  st  1  Gunnthra-I21      Gunnthra            ibata2021       Ibata2021                             -     1            -1.0       from-Members   -1.0                  from-Members              -1.0          from-Members      -1.0          from-Members      0.0       --------  apparent
  st  1  Hermus-G14        Hermus              grillmair2014   Grillmair2014                         -     0            0.3        Riley2020      -9.0                  -----------               -9.0          ------------      -9.0          -----------       0.0       --------  apparent
  st  1  Hrid-I21          Hrid                ibata2021       Ibata2021                             -     1            -1.0       from-Members   -9.0                  -----------               -9.0          ------------      -9.0          -----------       0.0       --------  apparent
  st  1  Hyllus-G14        Hyllus              grillmair2014   Grillmair2014,GrillmairCarlin2016     -     0            0.2        Riley2020      -9.0                  -----------               -9.0          ------------      -9.0          -----------       0.0       --------  apparent
  st  1  Indus-S19         Indus               shipp2019       Shipp2019,Shipp2018                   -     1            -1.0       from-Members   -1.0                  from-Members              -1.0          from-Members      -1.0          from-Members      0.0       --------  apparent
  st  1  Jet-F22           Jet                 ferguson2022    Ferguson2022                          -     1            -1.0       from-Members   -1.0                  from-Members              -1.0          from-Members      -1.0          from-Members      0.0       --------  apparent
  ep  0  Jet-J18           Jet                 jethwa2018      Jethwa2018                            -     0            0.2        Riley2020      -9.0                  -----------               -9.0          ------------      -9.0          -----------       0.0       --------  apparent
  st  1  Jhelum-a-B19      Jhelum-a            bonaca2019      Bonaca2019                            -     0            0.4        Bonaca2019     -9.0                  -----------               -9.0          ------------      -9.0          -----------       0.0       --------  apparent
  st  0  Jhelum-a-S19      Jhelum-a            shipp2019       Shipp2019,Shipp2018                   -     1            -1.0       from-Members   -1.0                  from-Members              -1.0          from-Members      -1.0          from-Members      0.0       --------  apparent
  st  1  Jhelum-b-B19      Jhelum-b            bonaca2019      Bonaca2019                            -     0            0.94       Bonaca2019     -9.0                  -----------               -9.0          ------------      -9.0          -----------       0.0       --------  apparent
  st  0  Jhelum-b-S19      Jhelum-b            shipp2019       Shipp2019,Shipp2018                   -     1            -1.0       from-Members   -1.0                  from-Members              -1.0          from-Members      -1.0          from-Members      0.0       --------  apparent
  st  0  Jhelum-I21        Jhelum              ibata2021       Ibata2021                             -     1            -1.0       from-Members   -1.0                  from-Members              -1.0          from-Members      -1.0          from-Members      0.0       --------  apparent
  st  1  Kshir-I21         Kshir               ibata2021       Ibata2021                             -     1            -1.0       from-Members   -1.0                  from-Members              -1.0          from-Members      -1.0          from-Members      0.0       --------  apparent
  st  0  Kwando-G17        Kwando              grillmair2017   Grillmair2017_south                   -     0            0.2        Riley2020      -9.0                  -----------               -9.0          ------------      -9.0          -----------       0.0       --------  apparent
  st  1  Kwando-I21        Kwando              ibata2021       Ibata2021                             -     1            -1.0       from-Members   -1.0                  from-Members              -1.0          from-Members      -1.0          from-Members      0.0       --------  apparent
