#      RA     DEC  D_kpc
  182.70   -52.77   16.4
  182.43   -52.41   16.4
  182.16   -52.04   16.4
  181.89   -51.68   16.3
  181.63   -51.31   16.3
  181.37   -50.95   16.3
  181.12   -50.58   16.3
  180.87   -50.21   16.2
  180.63   -49.84   16.2
  180.39   -49.47   16.2
  180.15   -49.10   16.2
  179.92   -48.73   16.1
  179.70   -48.36   16.1
  179.48   -47.99   16.1
  179.26   -47.61   16.1
  179.04   -47.24   16.1
  178.83   -46.86   16.1
  178.62   -46.49   16.0
  178.42   -46.11   16.0
  178.22   -45.74   16.0
  178.03   -45.36   16.0
  177.83   -44.98   16.0
  177.64   -44.61   16.0
  177.46   -44.23   16.0
  177.28   -43.85   16.0
  177.10   -43.47   16.0
  176.92   -43.09   16.0
  176.75   -42.71   16.0
  176.58   -42.33   16.0
  176.42   -41.95   16.0
  176.26   -41.56   16.0
  176.10   -41.18   16.0
  175.94   -40.80   16.0
  175.79   -40.41   16.0
  175.64   -40.03   16.0
  175.49   -39.64   16.0
  175.35   -39.26   16.0
  175.21   -38.87   16.0
  175.07   -38.48   16.1
  174.93   -38.10   16.1
  174.80   -37.71   16.1
  174.67   -37.32   16.1
  174.54   -36.93   16.1
  174.42   -36.54   16.1
  174.29   -36.16   16.1
  174.17   -35.77   16.2
  174.05   -35.38   16.2
  173.93   -34.99   16.2
  173.81   -34.60   16.2
  173.70   -34.21   16.2
  173.58   -33.82   16.3
  173.47   -33.43   16.3
  173.35   -33.04   16.3
  173.24   -32.65   16.3
  173.12   -32.26   16.3
  173.01   -31.87   16.4
  172.90   -31.48   16.4
  172.79   -31.09   16.4
  172.67   -30.70   16.4
  172.56   -30.31   16.5
  172.45   -29.92   16.5
  172.33   -29.53   16.5
  172.22   -29.14   16.5
  172.10   -28.75   16.6
  171.99   -28.36   16.6
  171.87   -27.98   16.6
  171.75   -27.59   16.6
  171.63   -27.20   16.7
  171.51   -26.82   16.7
  171.39   -26.43   16.7
  171.27   -26.05   16.7
  171.14   -25.66   16.7
  171.02   -25.28   16.8
  170.89   -24.90   16.8
  170.76   -24.51   16.8
  170.63   -24.13   16.8
  170.50   -23.75   16.9
  170.36   -23.37   16.9
